time,y,x,band,spatial_ref,Corn2_pydms_sharpened_modis_catd
2022-06-01,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-01,4218124.264616517,628594.1105554193,1.0,0.0,25.806556396484382
2022-06-01,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-01,4218915.448835425,628594.1105554193,1.0,0.0,25.494941406250007
2022-06-01,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-01,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-02,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-02,4218915.448835425,628594.1105554193,1.0,0.0,15.20181762695313
2022-06-02,4218124.264616517,628594.1105554193,1.0,0.0,15.355046386718755
2022-06-02,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-02,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-02,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-03,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-03,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-03,4218915.448835425,628594.1105554193,1.0,0.0,7.363914794921925
2022-06-03,4218124.264616517,628594.1105554193,1.0,0.0,7.8542407226563
2022-06-03,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-03,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-04,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-04,4218915.448835425,628594.1105554193,1.0,0.0,NA
2022-06-04,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-04,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-04,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-04,4218124.264616517,628594.1105554193,1.0,0.0,NA
2022-06-05,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-05,4218124.264616517,628594.1105554193,1.0,0.0,3.428320312500034
2022-06-05,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-05,4218915.448835425,628594.1105554193,1.0,0.0,2.749700927734409
2022-06-05,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-05,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-06,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-06,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-06,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-06,4218124.264616517,628594.1105554193,1.0,0.0,28.998330078125036
2022-06-06,4218915.448835425,628594.1105554193,1.0,0.0,26.72168823242191
2022-06-06,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-07,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-07,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-07,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-07,4218915.448835425,628594.1105554193,1.0,0.0,14.142712402343761
2022-06-07,4218124.264616517,628594.1105554193,1.0,0.0,15.117260742187511
2022-06-07,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-08,4218915.448835425,628594.1105554193,1.0,0.0,20.637696533203155
2022-06-08,4218124.264616517,628594.1105554193,1.0,0.0,21.569337158203155
2022-06-08,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-08,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-08,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-08,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-09,4218124.264616517,628594.1105554193,1.0,0.0,18.90482055664063
2022-06-09,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-09,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-09,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-09,4218915.448835425,628594.1105554193,1.0,0.0,17.187993164062505
2022-06-09,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-10,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-10,4218124.264616517,628594.1105554193,1.0,0.0,16.773395996093768
2022-06-10,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-10,4218915.448835425,628594.1105554193,1.0,0.0,15.258228759765643
2022-06-10,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-10,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-11,4218915.448835425,628594.1105554193,1.0,0.0,16.078161621093784
2022-06-11,4218124.264616517,628594.1105554193,1.0,0.0,17.752966308593784
2022-06-11,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-11,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-11,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-11,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-12,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-12,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-12,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-12,4218915.448835425,628594.1105554193,1.0,0.0,9.408593750000023
2022-06-12,4218124.264616517,628594.1105554193,1.0,0.0,9.982293701171898
2022-06-12,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-13,4218124.264616517,628594.1105554193,1.0,0.0,23.372775878906282
2022-06-13,4218915.448835425,628594.1105554193,1.0,0.0,22.412235107421907
2022-06-13,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-13,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-13,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-13,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-14,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-14,4218915.448835425,628594.1105554193,1.0,0.0,14.014423828125018
2022-06-14,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-14,4218124.264616517,628594.1105554193,1.0,0.0,14.505238037109393
2022-06-14,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-14,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-15,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-15,4218124.264616517,628594.1105554193,1.0,0.0,21.129608154296875
2022-06-15,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-15,4218915.448835425,628594.1105554193,1.0,0.0,20.094329833984375
2022-06-15,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-15,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-16,4218124.264616517,628594.1105554193,1.0,0.0,17.583027343750018
2022-06-16,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-16,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-16,4218915.448835425,628594.1105554193,1.0,0.0,15.789173583984393
2022-06-16,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-16,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-17,4218915.448835425,628594.1105554193,1.0,0.0,6.929975585937541
2022-06-17,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-17,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-17,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-17,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-17,4218124.264616517,628594.1105554193,1.0,0.0,15.582044677734416
2022-06-18,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-18,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-18,4218915.448835425,628594.1105554193,1.0,0.0,15.472757568359384
2022-06-18,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-18,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-18,4218124.264616517,628594.1105554193,1.0,0.0,19.989908447265634
2022-06-19,4218915.448835425,628594.1105554193,1.0,0.0,9.107578125000032
2022-06-19,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-19,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-19,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-19,4218124.264616517,628594.1105554193,1.0,0.0,11.447330322265657
2022-06-19,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-20,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-20,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-20,4218124.264616517,628594.1105554193,1.0,0.0,17.51053344726563
2022-06-20,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-20,4218915.448835425,628594.1105554193,1.0,0.0,14.52383911132813
2022-06-20,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-21,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-21,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-21,4218915.448835425,628594.1105554193,1.0,0.0,4.316678466796873
2022-06-21,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-21,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-21,4218124.264616517,628594.1105554193,1.0,0.0,4.920926513671873
2022-06-22,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-22,4218915.448835425,628594.1105554193,1.0,0.0,-0.4268090820312409
2022-06-22,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-22,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-22,4218124.264616517,628594.1105554193,1.0,0.0,7.318979492187509
2022-06-22,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-23,4218915.448835425,628594.1105554193,1.0,0.0,9.884052734375018
2022-06-23,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-23,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-23,4218124.264616517,628594.1105554193,1.0,0.0,10.705646972656268
2022-06-23,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-23,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-24,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-24,4218915.448835425,628594.1105554193,1.0,0.0,10.567812500000002
2022-06-24,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-24,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-24,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-24,4218124.264616517,628594.1105554193,1.0,0.0,13.511416015625002
2022-06-25,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-25,4218124.264616517,628594.1105554193,1.0,0.0,12.436011962890632
2022-06-25,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-25,4218915.448835425,628594.1105554193,1.0,0.0,10.198096923828132
2022-06-25,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-25,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-26,4218124.264616517,628594.1105554193,1.0,0.0,12.5289880371094
2022-06-26,4218915.448835425,628594.1105554193,1.0,0.0,10.965358886718775
2022-06-26,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-26,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-26,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-26,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-27,4218915.448835425,628594.1105554193,1.0,0.0,9.419053955078141
2022-06-27,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-27,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-27,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-27,4218124.264616517,628594.1105554193,1.0,0.0,12.654924316406266
2022-06-27,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-28,4218915.448835425,628594.1105554193,1.0,0.0,4.518842773437541
2022-06-28,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-28,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-28,4218124.264616517,628594.1105554193,1.0,0.0,5.850904541015666
2022-06-28,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-28,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-29,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-29,4218124.264616517,628594.1105554193,1.0,0.0,14.729199218750011
2022-06-29,4218915.448835425,628594.1105554193,1.0,0.0,9.179760742187511
2022-06-29,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-29,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-29,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-06-30,4218915.448835425,628594.1105554193,1.0,0.0,8.591962890625041
2022-06-30,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-06-30,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-06-30,4218124.264616517,628594.1105554193,1.0,0.0,10.877302246093791
2022-06-30,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-06-30,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-01,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-07-01,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-01,4218124.264616517,628594.1105554193,1.0,0.0,14.684067382812543
2022-07-01,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-07-01,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-07-01,4218915.448835425,628594.1105554193,1.0,0.0,10.735977783203168
2022-07-02,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-07-02,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-02,4218124.264616517,628594.1105554193,1.0,0.0,10.363759765625048
2022-07-02,4218915.448835425,628594.1105554193,1.0,0.0,7.790181884765673
2022-07-02,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-07-02,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-07-03,4218124.264616517,628594.1105554193,1.0,0.0,11.467121582031268
2022-07-03,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-03,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-07-03,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-07-03,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-07-03,4218915.448835425,628594.1105554193,1.0,0.0,12.160541992187518
2022-07-04,4218124.264616517,628594.1105554193,1.0,0.0,6.1825000000000045
2022-07-04,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-07-04,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-07-04,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-04,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-07-04,4218915.448835425,628594.1105554193,1.0,0.0,5.3805895996093795
2022-07-05,4218915.448835425,628594.1105554193,1.0,0.0,7.0253857421874955
2022-07-05,4218915.448835425,628576.675602286,1.0,0.0,NA
2022-07-05,4218124.264616517,628576.675602286,1.0,0.0,NA
2022-07-05,4218562.796391891,628594.1105554193,1.0,0.0,NA
2022-07-05,4218562.796391891,628576.675602286,1.0,0.0,NA
2022-07-05,4218124.264616517,628594.1105554193,1.0,0.0,8.19045532226562
