time,time,x,y,s2_mean_ndvi
2022-06-06 00:00:00+00:00,2022-06-06 00:00:00+00:00,629680.0,4218940.0,0.39422935
2022-06-07 00:00:00+00:00,2022-06-07 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-08 00:00:00+00:00,2022-06-08 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-09 00:00:00+00:00,2022-06-09 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-10 00:00:00+00:00,2022-06-10 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-11 00:00:00+00:00,2022-06-11 00:00:00+00:00,629680.0,4218940.0,0.49253917
2022-06-12 00:00:00+00:00,2022-06-12 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-13 00:00:00+00:00,2022-06-13 00:00:00+00:00,629680.0,4218940.0,0.526478
2022-06-14 00:00:00+00:00,2022-06-14 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-15 00:00:00+00:00,2022-06-15 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-16 00:00:00+00:00,2022-06-16 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-17 00:00:00+00:00,2022-06-17 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-18 00:00:00+00:00,2022-06-18 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-20 00:00:00+00:00,2022-06-20 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-21 00:00:00+00:00,2022-06-21 00:00:00+00:00,629680.0,4218940.0,0.6150148
2022-06-22 00:00:00+00:00,2022-06-22 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-23 00:00:00+00:00,2022-06-23 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-24 00:00:00+00:00,2022-06-24 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-25 00:00:00+00:00,2022-06-25 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-27 00:00:00+00:00,2022-06-27 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-28 00:00:00+00:00,2022-06-28 00:00:00+00:00,629680.0,4218940.0,0.7236973
2022-06-29 00:00:00+00:00,2022-06-29 00:00:00+00:00,629680.0,4218940.0,NA
2022-06-30 00:00:00+00:00,2022-06-30 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,629680.0,4218940.0,0.7559254
2022-07-02 00:00:00+00:00,2022-07-02 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-03 00:00:00+00:00,2022-07-03 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-04 00:00:00+00:00,2022-07-04 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-05 00:00:00+00:00,2022-07-05 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-06 00:00:00+00:00,2022-07-06 00:00:00+00:00,629680.0,4218940.0,0.8216999
2022-07-07 00:00:00+00:00,2022-07-07 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-08 00:00:00+00:00,2022-07-08 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-09 00:00:00+00:00,2022-07-09 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-10 00:00:00+00:00,2022-07-10 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-11 00:00:00+00:00,2022-07-11 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-12 00:00:00+00:00,2022-07-12 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-13 00:00:00+00:00,2022-07-13 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-15 00:00:00+00:00,2022-07-15 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-16 00:00:00+00:00,2022-07-16 00:00:00+00:00,629680.0,4218940.0,0.84595615
2022-07-17 00:00:00+00:00,2022-07-17 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-18 00:00:00+00:00,2022-07-18 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-19 00:00:00+00:00,2022-07-19 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-20 00:00:00+00:00,2022-07-20 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,629680.0,4218940.0,0.8459812
2022-07-22 00:00:00+00:00,2022-07-22 00:00:00+00:00,629680.0,4218940.0,NA
2022-07-23 00:00:00+00:00,2022-07-23 00:00:00+00:00,629680.0,4218940.0,0.8452975
