time,y,x,band,spatial_ref,Corn3_pydms_sharpened_modis_catd
2022-06-01,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-01,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-01,4218915.448835425,629385.2947743271,1.0,0.0,25.127204589843757
2022-06-01,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-01,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-01,4218124.264616517,629385.2947743271,1.0,0.0,26.385688476562507
2022-06-01,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-01,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-02,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-02,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-02,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-02,4218915.448835425,629385.2947743271,1.0,0.0,16.02591430664063
2022-06-02,4218124.264616517,629385.2947743271,1.0,0.0,16.10269653320313
2022-06-02,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-02,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-03,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-03,4218124.264616517,629385.2947743271,1.0,0.0,8.92034179687505
2022-06-03,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-03,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-03,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-03,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-03,4218915.448835425,629385.2947743271,1.0,0.0,5.838890380859425
2022-06-03,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-04,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-04,4218124.264616517,629385.2947743271,1.0,0.0,NA
2022-06-04,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-04,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-04,4218915.448835425,629385.2947743271,1.0,0.0,NA
2022-06-04,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-04,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-04,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-05,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-05,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-05,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-05,4218915.448835425,629385.2947743271,1.0,0.0,1.173956298828159
2022-06-05,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-05,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-05,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-05,4218124.264616517,629385.2947743271,1.0,0.0,1.801885986328159
2022-06-06,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-06,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-06,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-06,4218124.264616517,629385.2947743271,1.0,0.0,27.558510742187536
2022-06-06,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-06,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-06,4218915.448835425,629385.2947743271,1.0,0.0,25.18158813476566
2022-06-06,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-07,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-07,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-07,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-07,4218915.448835425,629385.2947743271,1.0,0.0,14.916241455078136
2022-06-07,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-07,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-07,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-07,4218124.264616517,629385.2947743271,1.0,0.0,15.932171630859386
2022-06-08,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-08,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-08,4218124.264616517,629385.2947743271,1.0,0.0,21.58114746093753
2022-06-08,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-08,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-08,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-08,4218915.448835425,629385.2947743271,1.0,0.0,19.382691650390655
2022-06-08,4219026.109108419,629039.988318814,1.0,0.0,NA
2022-06-09,4218562.796391891,629385.2947743271,1.0,0.0,NA
2022-06-09,4219026.109108419,629385.2947743271,1.0,0.0,NA
2022-06-09,4218562.796391891,629039.988318814,1.0,0.0,NA
2022-06-09,4218915.448835425,629039.988318814,1.0,0.0,NA
2022-06-09,4218124.264616517,629039.988318814,1.0,0.0,NA
2022-06-09,4218915.448835425,629385.2947743271,1.0,0.0,16.94040405273438
2022-06-09,4218124.264616517,629385.2947743271,1.0,0.0,18.282902832031255
2022-06-09,4219026.109108419,629039.988318814,1.0,0.0,NA
