time,x,y,s2_ndvi
2022-06-06 00:00:00+00:00,629110.0,4218430.0,NA
2022-06-06 00:00:00+00:00,629130.0,4219070.0,0.4792971
2022-06-06 00:00:00+00:00,629330.0,4218430.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219210.0,NA
2022-06-06 00:00:00+00:00,629130.0,4219090.0,0.4292845
2022-06-06 00:00:00+00:00,629310.0,4219190.0,0.52579665
2022-06-06 00:00:00+00:00,629130.0,4219110.0,0.44011545
2022-06-06 00:00:00+00:00,629310.0,4219170.0,0.42731276
2022-06-06 00:00:00+00:00,629310.0,4219150.0,0.30332044
2022-06-06 00:00:00+00:00,629130.0,4219130.0,0.50636035
2022-06-06 00:00:00+00:00,629310.0,4219130.0,0.2367226
2022-06-06 00:00:00+00:00,629310.0,4219110.0,0.21596885
2022-06-06 00:00:00+00:00,629130.0,4219150.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219090.0,0.22065541
2022-06-06 00:00:00+00:00,629130.0,4219170.0,NA
2022-06-06 00:00:00+00:00,629330.0,4218450.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219070.0,0.23142682
2022-06-06 00:00:00+00:00,629130.0,4219190.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219030.0,0.34137213
2022-06-06 00:00:00+00:00,629130.0,4219210.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219010.0,0.4089404
2022-06-06 00:00:00+00:00,629310.0,4218990.0,0.42021167
2022-06-06 00:00:00+00:00,629150.0,4218430.0,NA
2022-06-06 00:00:00+00:00,629310.0,4218970.0,0.45390946
2022-06-06 00:00:00+00:00,629150.0,4218450.0,0.5272958
2022-06-06 00:00:00+00:00,629310.0,4218950.0,0.48154157
2022-06-06 00:00:00+00:00,629310.0,4218930.0,0.49747118
2022-06-06 00:00:00+00:00,629150.0,4218470.0,0.5200172
2022-06-06 00:00:00+00:00,629310.0,4218910.0,0.48580697
2022-06-06 00:00:00+00:00,629310.0,4218890.0,0.47318676
2022-06-06 00:00:00+00:00,629370.0,4219150.0,NA
2022-06-06 00:00:00+00:00,629310.0,4219050.0,0.26634637
2022-06-06 00:00:00+00:00,629150.0,4218490.0,0.5218621
2022-06-06 00:00:00+00:00,629130.0,4219050.0,0.5036526
2022-06-06 00:00:00+00:00,629330.0,4218490.0,NA
2022-06-06 00:00:00+00:00,629130.0,4218810.0,0.46818182
2022-06-06 00:00:00+00:00,629330.0,4218850.0,0.5047022
