time,time,x,y,s2_mean_ndvi
2022-08-02 00:00:00+00:00,2022-08-02 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-03 00:00:00+00:00,2022-08-03 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-04 00:00:00+00:00,2022-08-04 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-05 00:00:00+00:00,2022-08-05 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-06 00:00:00+00:00,2022-08-06 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-07 00:00:00+00:00,2022-08-07 00:00:00+00:00,629240.0,4218820.0,0.8187038
2022-08-08 00:00:00+00:00,2022-08-08 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-09 00:00:00+00:00,2022-08-09 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-10 00:00:00+00:00,2022-08-10 00:00:00+00:00,629240.0,4218820.0,0.8122494
2022-08-11 00:00:00+00:00,2022-08-11 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-12 00:00:00+00:00,2022-08-12 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-13 00:00:00+00:00,2022-08-13 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-14 00:00:00+00:00,2022-08-14 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-15 00:00:00+00:00,2022-08-15 00:00:00+00:00,629240.0,4218820.0,0.8056007
2022-08-16 00:00:00+00:00,2022-08-16 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-17 00:00:00+00:00,2022-08-17 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-18 00:00:00+00:00,2022-08-18 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-19 00:00:00+00:00,2022-08-19 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-20 00:00:00+00:00,2022-08-20 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-21 00:00:00+00:00,2022-08-21 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-22 00:00:00+00:00,2022-08-22 00:00:00+00:00,629240.0,4218820.0,0.65237725
2022-08-23 00:00:00+00:00,2022-08-23 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-24 00:00:00+00:00,2022-08-24 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-25 00:00:00+00:00,2022-08-25 00:00:00+00:00,629240.0,4218820.0,0.61240387
2022-08-26 00:00:00+00:00,2022-08-26 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-27 00:00:00+00:00,2022-08-27 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-28 00:00:00+00:00,2022-08-28 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-29 00:00:00+00:00,2022-08-29 00:00:00+00:00,629240.0,4218820.0,NA
2022-08-30 00:00:00+00:00,2022-08-30 00:00:00+00:00,629240.0,4218820.0,0.56112266
2022-08-31 00:00:00+00:00,2022-08-31 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,629240.0,4218820.0,0.53564495
2022-09-02 00:00:00+00:00,2022-09-02 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-03 00:00:00+00:00,2022-09-03 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-04 00:00:00+00:00,2022-09-04 00:00:00+00:00,629240.0,4218820.0,0.53564495
2022-09-05 00:00:00+00:00,2022-09-05 00:00:00+00:00,629240.0,4218820.0,NA
