time,x,y,s2_ndvi
2022-06-06 00:00:00+00:00,628490.0,4218250.0,0.38456643
2022-06-06 00:00:00+00:00,628510.0,4218490.0,0.37779304
2022-06-06 00:00:00+00:00,628690.0,4218590.0,0.3811944
2022-06-06 00:00:00+00:00,628690.0,4218570.0,0.36499786
2022-06-06 00:00:00+00:00,628510.0,4218510.0,0.37755823
2022-06-06 00:00:00+00:00,628690.0,4218550.0,0.36598814
2022-06-06 00:00:00+00:00,628690.0,4218530.0,0.379468
2022-06-06 00:00:00+00:00,628690.0,4218510.0,0.38283628
2022-06-06 00:00:00+00:00,628510.0,4218530.0,0.36758894
2022-06-06 00:00:00+00:00,628690.0,4218490.0,0.3856
2022-06-06 00:00:00+00:00,628690.0,4218470.0,0.39972714
2022-06-06 00:00:00+00:00,628510.0,4218550.0,0.35463956
2022-06-06 00:00:00+00:00,628690.0,4218450.0,0.41123256
2022-06-06 00:00:00+00:00,628690.0,4218610.0,0.39617887
2022-06-06 00:00:00+00:00,628690.0,4218430.0,0.40297413
2022-06-06 00:00:00+00:00,628510.0,4218570.0,0.34643376
2022-06-06 00:00:00+00:00,628690.0,4218390.0,0.39507702
2022-06-06 00:00:00+00:00,628690.0,4218370.0,0.37248734
2022-06-06 00:00:00+00:00,628690.0,4218350.0,0.3748702
2022-06-06 00:00:00+00:00,628510.0,4218590.0,0.35040236
2022-06-06 00:00:00+00:00,628690.0,4218330.0,0.41863653
2022-06-06 00:00:00+00:00,628690.0,4218310.0,0.46643108
2022-06-06 00:00:00+00:00,628510.0,4218610.0,0.3650148
2022-06-06 00:00:00+00:00,628690.0,4218290.0,NA
2022-06-06 00:00:00+00:00,628690.0,4218270.0,NA
2022-06-06 00:00:00+00:00,628690.0,4218250.0,NA
2022-06-06 00:00:00+00:00,628510.0,4218630.0,0.3828913
2022-06-06 00:00:00+00:00,628690.0,4218410.0,0.40443963
2022-06-06 00:00:00+00:00,628690.0,4218630.0,0.39159665
2022-06-06 00:00:00+00:00,628690.0,4218650.0,0.3918919
2022-06-06 00:00:00+00:00,628510.0,4218470.0,0.38638672
2022-06-06 00:00:00+00:00,628710.0,4218330.0,0.42759562
2022-06-06 00:00:00+00:00,628710.0,4218310.0,NA
2022-06-06 00:00:00+00:00,628510.0,4218330.0,0.33013317
2022-06-06 00:00:00+00:00,628710.0,4218290.0,NA
2022-06-06 00:00:00+00:00,628710.0,4218270.0,NA
2022-06-06 00:00:00+00:00,628710.0,4218250.0,NA
