time,x,y,spatial_ref,pnt_ndvi
2022-06-06 07:03:56.500000+00:00,629290.0,4219110.0,0,0.22115768
2022-06-11 07:03:57+00:00,629290.0,4219110.0,0,0.23496164
2022-06-13 19:03:53.500000+00:00,629290.0,4219110.0,0,0.23562753
2022-06-21 07:03:58.500000+00:00,629290.0,4219110.0,0,0.24267101
2022-06-28 19:04:02.500000+00:00,629290.0,4219110.0,0,0.24731627
2022-07-01 07:03:59.500000+00:00,629290.0,4219110.0,0,0.25374377
2022-07-06 07:03:59.500000+00:00,629290.0,4219110.0,0,0.2765777
2022-07-16 07:04:00+00:00,629290.0,4219110.0,0,0.28462192
2022-07-21 07:03:59+00:00,629290.0,4219110.0,0,0.285441
2022-07-23 19:03:55.500000+00:00,629290.0,4219110.0,0,0.28626117
2022-07-31 07:03:59.500000+00:00,629290.0,4219110.0,0,0.28840393
2022-08-07 19:04:03+00:00,629290.0,4219110.0,0,0.29163072
2022-08-10 07:04:00+00:00,629290.0,4219110.0,0,0.2960555
2022-08-15 07:03:56.500000+00:00,629290.0,4219110.0,0,0.2779013
2022-08-22 19:03:54+00:00,629290.0,4219110.0,0,0.26902655
2022-08-25 07:03:58+00:00,629290.0,4219110.0,0,0.26023778
2022-08-30 07:03:57.500000+00:00,629290.0,4219110.0,0,0.25170067
2022-09-01 19:03:53+00:00,629290.0,4219110.0,0,0.25696594
2022-09-04 07:03:58.500000+00:00,629290.0,4219110.0,0,0.25696594
2022-09-06 19:04:01+00:00,629290.0,4219110.0,0,0.25696594
2022-09-09 07:03:54.500000+00:00,629290.0,4219110.0,0,0.25170067
2022-09-14 07:03:57+00:00,629290.0,4219110.0,0,0.22467157
2022-09-16 19:04:00.500000+00:00,629290.0,4219110.0,0,0.23022847
2022-09-19 07:03:55.500000+00:00,629290.0,4219110.0,0,0.20576496
2022-09-24 07:03:55+00:00,629290.0,4219110.0,0,0.20576496
