time,y,x,band,spatial_ref,Corn3_pydms_sharpened_landsat_catd
2022-06-04,4218430.0,629110.0,1.0,0.0,NA
2022-06-04,4218790.0,629290.0,1.0,0.0,NA
2022-06-04,4218770.0,629290.0,1.0,0.0,NA
2022-06-04,4218930.0,629110.0,1.0,0.0,NA
2022-06-04,4218750.0,629290.0,1.0,0.0,NA
2022-06-04,4218730.0,629290.0,1.0,0.0,NA
2022-06-04,4218710.0,629290.0,1.0,0.0,NA
2022-06-04,4218690.0,629290.0,1.0,0.0,NA
2022-06-04,4218670.0,629290.0,1.0,0.0,NA
2022-06-04,4218650.0,629290.0,1.0,0.0,NA
2022-06-04,4218630.0,629290.0,1.0,0.0,NA
2022-06-04,4218950.0,629110.0,1.0,0.0,NA
2022-06-04,4218610.0,629290.0,1.0,0.0,NA
2022-06-04,4218590.0,629290.0,1.0,0.0,NA
2022-06-04,4218810.0,629290.0,1.0,0.0,NA
2022-06-04,4218570.0,629290.0,1.0,0.0,NA
2022-06-04,4218530.0,629290.0,1.0,0.0,NA
2022-06-04,4218510.0,629290.0,1.0,0.0,NA
2022-06-04,4218490.0,629290.0,1.0,0.0,NA
2022-06-04,4218970.0,629110.0,1.0,0.0,NA
2022-06-04,4218470.0,629290.0,1.0,0.0,NA
2022-06-04,4218450.0,629290.0,1.0,0.0,NA
2022-06-04,4218430.0,629290.0,1.0,0.0,NA
2022-06-04,4219210.0,629270.0,1.0,0.0,NA
2022-06-04,4219190.0,629270.0,1.0,0.0,NA
2022-06-04,4219170.0,629270.0,1.0,0.0,NA
2022-06-04,4219150.0,629270.0,1.0,0.0,NA
2022-06-04,4219130.0,629270.0,1.0,0.0,NA
2022-06-04,4218990.0,629110.0,1.0,0.0,NA
2022-06-04,4218550.0,629290.0,1.0,0.0,NA
2022-06-04,4218830.0,629290.0,1.0,0.0,NA
2022-06-04,4218850.0,629290.0,1.0,0.0,NA
2022-06-04,4218870.0,629290.0,1.0,0.0,NA
2022-06-04,4218570.0,629310.0,1.0,0.0,NA
2022-06-04,4218550.0,629310.0,1.0,0.0,NA
2022-06-04,4218850.0,629110.0,1.0,0.0,NA
2022-06-04,4218530.0,629310.0,1.0,0.0,NA
2022-06-04,4218510.0,629310.0,1.0,0.0,NA
2022-06-04,4218490.0,629310.0,1.0,0.0,NA
2022-06-04,4218470.0,629310.0,1.0,0.0,NA
2022-06-04,4218450.0,629310.0,1.0,0.0,NA
2022-06-04,4218430.0,629310.0,1.0,0.0,NA
2022-06-04,4219210.0,629290.0,1.0,0.0,NA
2022-06-04,4218870.0,629110.0,1.0,0.0,NA
2022-06-04,4219190.0,629290.0,1.0,0.0,NA
2022-06-04,4219170.0,629290.0,1.0,0.0,NA
2022-06-04,4219150.0,629290.0,1.0,0.0,NA
2022-06-04,4219130.0,629290.0,1.0,0.0,NA
