time,y,x,band,spatial_ref,Corn2_prepped_inputs_mod21a1d_catd
2022-06-01,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-01,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-01,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-01,4218519.856725971,628989.7026648734,1.0,0.0,29.829993896484382
2022-06-02,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-02,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-02,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-02,4218519.856725971,628989.7026648734,1.0,0.0,15.620000000000005
2022-06-03,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-03,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-03,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-03,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-04,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-04,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-04,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-04,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-05,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-05,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-05,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-05,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-06,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-06,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-06,4218519.856725971,628989.7026648734,1.0,0.0,29.87000366210941
2022-06-06,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-07,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-07,4218519.856725971,628989.7026648734,1.0,0.0,16.759991455078136
2022-06-07,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-07,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-08,4218519.856725971,628989.7026648734,1.0,0.0,24.500001220703155
2022-06-08,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-08,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-08,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-09,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-09,4218519.856725971,628989.7026648734,1.0,0.0,22.419987792968755
2022-06-09,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-09,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-10,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-10,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-10,4218519.856725971,628989.7026648734,1.0,0.0,19.629993896484393
2022-06-10,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-11,4218519.856725971,628989.7026648734,1.0,0.0,19.62000122070316
2022-06-11,4218331.140033628,628989.7026648734,1.0,0.0,NA
2022-06-11,4218519.856725971,628345.0192440221,1.0,0.0,NA
2022-06-11,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-12,4218331.140033628,628345.0192440221,1.0,0.0,NA
2022-06-12,4218519.856725971,628989.7026648734,1.0,0.0,NA
2022-06-12,4218331.140033628,628989.7026648734,1.0,0.0,NA
